timestamp,temperature,weather_code,weather_description,extraction_date
2026-05-31T00:00,25.0,3,Encoberto,2026-05-31
2026-05-31T01:00,24.8,3,Encoberto,2026-05-31
2026-05-31T02:00,24.8,51,Garoa leve,2026-05-31
2026-05-31T03:00,24.7,3,Encoberto,2026-05-31
2026-05-31T04:00,24.5,3,Encoberto,2026-05-31
2026-05-31T05:00,24.3,3,Encoberto,2026-05-31
2026-05-31T06:00,24.5,3,Encoberto,2026-05-31
2026-05-31T07:00,24.3,51,Garoa leve,2026-05-31
2026-05-31T08:00,23.9,51,Garoa leve,2026-05-31
2026-05-31T09:00,23.6,51,Garoa leve,2026-05-31
2026-05-31T10:00,24.6,1,Predominantemente limpo,2026-05-31
2026-05-31T11:00,26.3,1,Predominantemente limpo,2026-05-31
2026-05-31T12:00,28.1,1,Predominantemente limpo,2026-05-31
2026-05-31T13:00,29.6,2,Parcialmente nublado,2026-05-31
2026-05-31T14:00,30.6,3,Encoberto,2026-05-31
2026-05-31T15:00,30.8,51,Garoa leve,2026-05-31
2026-05-31T16:00,30.9,51,Garoa leve,2026-05-31
2026-05-31T17:00,29.2,53,Garoa moderada,2026-05-31
2026-05-31T18:00,28.5,80,Pancadas de chuva leves,2026-05-31
2026-05-31T19:00,27.5,80,Pancadas de chuva leves,2026-05-31
2026-05-31T20:00,26.7,53,Garoa moderada,2026-05-31
2026-05-31T21:00,24.8,80,Pancadas de chuva leves,2026-05-31
2026-05-31T22:00,24.7,53,Garoa moderada,2026-05-31
2026-05-31T23:00,24.8,3,Encoberto,2026-05-31
2026-06-01T00:00,24.8,3,Encoberto,2026-05-31
2026-06-01T01:00,25.1,2,Parcialmente nublado,2026-05-31
2026-06-01T02:00,25.2,3,Encoberto,2026-05-31
2026-06-01T03:00,25.3,3,Encoberto,2026-05-31
2026-06-01T04:00,25.3,3,Encoberto,2026-05-31
2026-06-01T05:00,25.2,3,Encoberto,2026-05-31
2026-06-01T06:00,25.2,3,Encoberto,2026-05-31
2026-06-01T07:00,25.3,3,Encoberto,2026-05-31
2026-06-01T08:00,25.2,51,Garoa leve,2026-05-31
2026-06-01T09:00,25.2,51,Garoa leve,2026-05-31
2026-06-01T10:00,25.7,51,Garoa leve,2026-05-31
2026-06-01T11:00,26.9,1,Predominantemente limpo,2026-05-31
2026-06-01T12:00,28.4,51,Garoa leve,2026-05-31
2026-06-01T13:00,29.1,51,Garoa leve,2026-05-31
2026-06-01T14:00,29.6,51,Garoa leve,2026-05-31
2026-06-01T15:00,28.0,80,Pancadas de chuva leves,2026-05-31
2026-06-01T16:00,28.4,55,Garoa forte,2026-05-31
